jornada,homeTeam_fullName,homeTeam_abbName,awayeam_fullName,awayTeam_abbName
1,Unicaja,UNI,Surne Bilbao Basket,SBB
1,Recoletas Salud San Pablo Burgos,BUR,Bàsquet Girona,GIR
1,La Laguna Tenerife,LLT,BAXI Manresa,BAX
1,Hiopos Lleida,HIO,Río Breogán,BRE
1,Coviran Granada,COV,Joventut Badalona,JOV
1,Real Madrid,RMB,Dreamland Gran Canaria,DGC
1,Casademont Zaragoza,CAZ,Baskonia,BKN
1,UCAM Murcia,UCM,MoraBanc Andorra,MBA
1,Valencia Basket,VBC,Barça,BAR
2,Bàsquet Girona,GIR,UCAM Murcia,UCM
2,MoraBanc Andorra,MBA,La Laguna Tenerife,LLT
2,Dreamland Gran Canaria,DGC,Unicaja,UNI
2,BAXI Manresa,BAX,Coviran Granada,COV
2,Joventut Badalona,JOV,Casademont Zaragoza,CAZ
2,Barça,BAR,Hiopos Lleida,HIO
2,Río Breogán,BRE,Valencia Basket,VBC
2,Surne Bilbao Basket,SBB,Recoletas Salud San Pablo Burgos,BUR
2,Baskonia,BKN,Real Madrid,RMB
3,BAXI Manresa,BAX,Dreamland Gran Canaria,DGC
3,MoraBanc Andorra,MBA,Bàsquet Girona,GIR
3,La Laguna Tenerife,LLT,UCAM Murcia,UCM
3,Casademont Zaragoza,CAZ,Río Breogán,BRE
3,Joventut Badalona,JOV,Surne Bilbao Basket,SBB
3,Real Madrid,RMB,Recoletas Salud San Pablo Burgos,BUR
3,Hiopos Lleida,HIO,Valencia Basket,VBC
3,Coviran Granada,COV,Baskonia,BKN
3,Unicaja,UNI,Barça,BAR
4,Hiopos Lleida,HIO,Coviran Granada,COV
4,Barça,BAR,Río Breogán,BRE
4,La Laguna Tenerife,LLT,Unicaja,UNI
4,Recoletas Salud San Pablo Burgos,BUR,Casademont Zaragoza,CAZ
4,Bàsquet Girona,GIR,Dreamland Gran Canaria,DGC
4,UCAM Murcia,UCM,Baskonia,BKN
4,Surne Bilbao Basket,SBB,MoraBanc Andorra,MBA
4,Valencia Basket,VBC,Joventut Badalona,JOV
4,Real Madrid,RMB,BAXI Manresa,BAX
5,BAXI Manresa,BAX,Surne Bilbao Basket,SBB
5,Unicaja,UNI,Bàsquet Girona,GIR
5,Dreamland Gran Canaria,DGC,MoraBanc Andorra,MBA
5,Río Breogán,BRE,Coviran Granada,COV
5,Joventut Badalona,JOV,Hiopos Lleida,HIO
5,Casademont Zaragoza,CAZ,Real Madrid,RMB
